Date,Adj Close,Close,High,Low,Open,Volume
2024-08-09 00:00:00+00:00,929.8534546,934,934,922,927,49494621
2024-08-12 00:00:00+00:00,935.8268433,940,948,931,942,38331663
2024-08-13 00:00:00+00:00,936.8223877,941,945,937,945,25764381
2024-08-14 00:00:00+00:00,943.7913208,948,955,945,951,36780856
2024-08-15 00:00:00+00:00,938.8135376,943,950,941,945,19476402
2024-08-16 00:00:00+00:00,964.6981201,969,969,958,963,44062316
2024-08-19 00:00:00+00:00,968.6803589,973,975,964,969,21348863
2024-08-20 00:00:00+00:00,968.6803589,973,977,968,977,24039959
2024-08-21 00:00:00+00:00,953.7469482,958,964,956,961,29758188
2024-08-22 00:00:00+00:00,946.7780151,951,964,948,958,24349754
2024-08-23 00:00:00+00:00,944.7868652,949,952,939,944,27592153
2024-08-26 00:00:00+00:00,945.7824707,950,961,945,957,25057581
2024-08-27 00:00:00+00:00,937.8179321,942,946,940,945,18693037
2024-08-28 00:00:00+00:00,959.7202759,964,964,943,945,31059233
2024-08-29 00:00:00+00:00,938.8135376,943,947,937,942,43530708
2024-08-30 00:00:00+00:00,939.809082,944,952,941,944,63834981
2024-09-02 00:00:00+00:00,943.7913208,948,955,943,950,18646835
2024-09-03 00:00:00+00:00,935.8268433,940,952,939,948,19547575
2024-09-04 00:00:00+00:00,885.0532837,889,905,888,894,79709021
2024-09-05 00:00:00+00:00,897.9955444,902,915,900,907,30512026
2024-09-06 00:00:00+00:00,913.9244995,918,918,903,909,24458336
2024-09-09 00:00:00+00:00,895.0088501,899,900,891,892,35885268
2024-09-10 00:00:00+00:00,899.9866333,904,911,901,907,33498628
2024-09-11 00:00:00+00:00,897,901,906,900,906,18029342
2024-09-12 00:00:00+00:00,940,940,944,928,936,39454846
2024-09-13 00:00:00+00:00,947,947,955,939,955,25347586
2024-09-16 00:00:00+00:00,947,947,952,943,952,13626239
2024-09-18 00:00:00+00:00,941,941,948,933,945,28424324
2024-09-19 00:00:00+00:00,960,960,960,936,940,32739630
2024-09-20 00:00:00+00:00,973,973,982,971,981,60133709
2024-09-23 00:00:00+00:00,977,977,977,971,971,14497067
2024-09-24 00:00:00+00:00,987,987,987,971,976,26785975
2024-09-25 00:00:00+00:00,1005,1005,1005,998,1000,39405222
2024-09-26 00:00:00+00:00,1015,1015,1015,1005,1010,38321585
2024-09-27 00:00:00+00:00,1000,1000,1025,1000,1020,35783779
2024-09-30 00:00:00+00:00,957,957,990,957,978,61603217
2024-10-01 00:00:00+00:00,972,972,977,967,967,26760355
2024-10-04 00:00:00+00:00,977,977,986,967,986,40934818
2024-10-07 00:00:00+00:00,1005,1005,1010,989,993,39667071
2024-10-08 00:00:00+00:00,1010,1010,1010,997,1000,30845902
2024-10-09 00:00:00+00:00,1020,1020,1035,1020,1030,46975717
2024-10-11 00:00:00+00:00,1045,1045,1050,1020,1025,43058754
2024-10-14 00:00:00+00:00,1045,1045,1055,1035,1045,36858874
2024-10-15 00:00:00+00:00,1070,1070,1075,1050,1050,42850176
2024-10-16 00:00:00+00:00,1045,1045,1070,1035,1040,52652149
2024-10-17 00:00:00+00:00,1035,1035,1055,1030,1050,54173771
2024-10-18 00:00:00+00:00,1085,1085,1100,1075,1095,85011961
2024-10-21 00:00:00+00:00,1085,1085,1095,1080,1090,36491060
2024-10-22 00:00:00+00:00,1075,1075,1075,1060,1065,41197877
2024-10-23 00:00:00+00:00,1060,1060,1070,1055,1060,31423466
2024-10-24 00:00:00+00:00,1060,1060,1075,1055,1070,38236996
2024-10-25 00:00:00+00:00,1065,1065,1070,1060,1065,22009575
2024-10-28 00:00:00+00:00,1050,1050,1080,1050,1075,40142324
2024-10-29 00:00:00+00:00,1040,1040,1040,1020,1035,45415773
2024-10-30 00:00:00+00:00,1030,1030,1055,1030,1040,38201984
2024-10-31 00:00:00+00:00,1030,1030,1030,1030,1030,0
2024-11-01 00:00:00+00:00,1025,1025,1030,996,996,54480255
2024-11-04 00:00:00+00:00,1040,1040,1045,1025,1030,26747978
2024-11-05 00:00:00+00:00,1050,1050,1055,1030,1030,32385622
2024-11-06 00:00:00+00:00,1060,1060,1080,1040,1050,55349259
2024-11-07 00:00:00+00:00,1065,1065,1075,1050,1050,43975446
2024-11-08 00:00:00+00:00,1090,1090,1090,1080,1085,37099479
2024-11-11 00:00:00+00:00,1085,1085,1090,1070,1080,34690205
2024-11-12 00:00:00+00:00,1050,1050,1065,1050,1060,51099848
2024-11-13 00:00:00+00:00,1035,1035,1050,1035,1045,42331232
2024-11-14 00:00:00+00:00,1035,1035,1040,1025,1030,44627940
2024-11-15 00:00:00+00:00,1035,1035,1045,1030,1040,34791611
